phi,Re,"Cd,meas"
0.957,582.1312,1.065
0.674,592.9227,1.006
1,603.2626,0.754
0.749,606.9199,1.219
1,610.5112,0.731
0.732,616.8757,1
0.628,623.2105,1.422
1,651.5647,0.908
0.97,654.408,0.943
0.673,667.2371,1.208
0.809,673.287,1.096
0.784,700.8434,1.043
0.679,701.6379,1.416
0.604,705.2648,1.191
0.903,715.1294,1.091
0.689,717.2758,1.436
1,727.8622,0.66
0.753,752.1804,1.033
0.559,754.2895,2.032
0.917,760.8987,0.86
0.672,779.5225,1.912
0.856,815.7983,0.89
0.723,827.9806,1.575
0.727,830.5071,0.726
0.809,836.1801,1.191
0.827,848.226,1.135
0.93,858.9209,0.943
0.691,883.8372,1.148
0.757,949.4363,0.87
0.621,953.7695,1.996
0.732,966.3755,1.141
0.795,966.5411,1.021
0.835,1024.1475,0.93
0.797,1026.108,0.994
0.68,1039.6147,1.19
0.913,1080.9714,0.829
1,1081.5541,0.732
0.715,1087.1819,0.711
0.663,1115.398,0.897
0.787,1117.0512,0.86
0.843,1149.4104,1.034
0.667,1154.481,0.742
0.866,1155.8816,0.671
0.847,1163.7832,1.327
0.61,1166.791,1.753
0.829,1168.212,1.249
0.818,1180.9563,1.01
0.983,1199.8524,0.829
0.855,1215.6626,0.91
0.686,1221.2355,0.983
0.556,1261.4812,1.537
0.775,1268.0188,1.359
0.746,1286.0348,2.043
0.684,1291.6612,1.161
0.601,1347.2093,1.253
0.592,1360.9071,0.998
0.797,1384.5355,1.174
0.876,1449.5163,0.973
0.671,1459.5043,1.609
0.776,1502.5693,0.817
0.744,1537.7691,0.907
0.757,1613.5131,0.968
0.937,1616.5123,0.634
0.812,1705.2291,0.881
0.761,1828.1752,1.492
0.556,1901.7494,1.947
0.736,1925.4521,1.116
0.677,1956.6461,1.502
0.58,1962.0915,1.446
0.514,1995.4651,1.665
0.796,2087.1425,0.958
0.746,2182.1987,0.906
0.845,2190.3578,0.963
0.851,2195.2349,0.909
0.658,2224.2595,1.177
0.707,2256.0613,1.285
0.53,2290.4155,2.079
0.862,2294.1771,1.047
0.78,2340.8129,1.049
0.691,2389.908,1.395
0.893,2650.1694,1.089
0.679,2678.0091,1.59
0.827,2751.1845,0.91
0.83,2897.6024,1.082
0.748,2935.7822,1.322
0.717,3105.9824,0.797
0.782,3347.6233,1.06
0.566,3936.6867,1.601
